item_id,source_lang,mt_engine_1,mt_engine_2,backtranslation_1,backtranslation_2,chrf_engine_pair,chrf_vs_source,flagged,adjudicated,adjudicator,notes
abstract_algebra_test_3,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_1,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_5,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_2,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_9,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_3,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_7,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_1,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_2,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_11,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_2,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_6,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_4,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_11,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_4,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_11,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_2,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_3,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_16,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_4,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_8,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_5,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_13,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_6,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_13,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_4,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_4,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_18,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_5,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_9,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_10,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_21,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_7,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_15,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_5,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_7,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_20,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_9,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_12,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_16,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_24,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_9,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_17,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_6,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_8,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_24,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_12,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_18,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_20,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_37,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_11,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_18,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_8,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_10,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_27,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_17,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_19,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_21,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_45,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_12,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_20,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_16,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_11,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_28,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_19,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_21,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_26,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_49,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_17,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_23,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_18,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_12,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_32,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
anatomy_test_20,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
astronomy_test_36,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
business_ethics_test_32,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
clinical_knowledge_test_54,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_biology_test_18,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_chemistry_test_24,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_computer_science_test_20,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
college_mathematics_test_13,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
abstract_algebra_test_33,EN,,,,,,,true,false,,JV translation pending; M1 cannot pass until adjudicated.
